Long Name	Retailer	Name	Address	City	State	Zip	Category	Suppliers
AgLand Cooperative - SD	AgLand Coop	Armour Agronomy Center	507 Braddock Ave	Armour	SD	57313	Agronomy	
AgLand Cooperative - SD	AgLand Coop	Delmont Agronomy Center	39833 US Hwy 18	Delmont	SD	57330	Agronomy	
AgLand Cooperative - SD	AgLand Coop	Parkston Agronomy Center	115 S First St	Parkston	SD	57366	Agronomy	
Ag-Land FS - IL	Ag-Land FS	Green Valley Plant	267 E Main St	Green Valley	IL	61534	Agronomy	Growmark
Ag-Land FS - IL	Ag-Land FS	Hanna City Plant	1213 Hanna City Glasford Rd	Hanna City	IL	61536	Agronomy	Growmark
Ag-Land FS - IL	Ag-Land FS	Hanna City Plant	1213 Hanna City Glasford	Hanna City	IL	61536	Agronomy	Growmark
Ag-Land FS - IL	Ag-Land FS	Lincoln Plant	1129 Keokuk St	Lincoln	IL	62656	Agronomy	Growmark
Ag-Land FS - IL	Ag-Land FS	Monica Plant	19716 N Elliott Rd	Monica	IL	61559	Agronomy	Growmark
Ag-Land FS - IL	Ag-Land FS	Mt. Pulaski Plant	1758 State Route 54	Mt Pulaski	IL	62548	Agronomy	Growmark
Ag-Land FS - IL	Ag-Land FS	New Holland Plant	153 State Route 10	New Holland	IL	62671	Agronomy	Growmark
Ag-Land FS - IL	Ag-Land FS	Pekin Main Office	1505 Valle Vista	Pekin	IL	61554	Corporate HQ	Growmark
Ag-Land FS - IL	Ag-Land FS	Tremont Plant	14104 Baer Rd	Tremont	IL	61568	Agronomy	Growmark
Agriland FS - IA	AGRILAND FS	Avoca Agronomy	110 E Ellsworth St	Avoca	IA	51521	Agronomy	Growmark
Agriland FS - IA	AGRILAND FS	Avoca Service Center	110 E Ellsworth Ave	Avoca	IA	51521	C-Store/Service/Energy	Growmark
Agriland FS - IA	AGRILAND FS	Bloomfield	22686 Highway 2	Bloomfield	IA	52537	Agronomy	Growmark
Agriland FS - IA	AGRILAND FS	Clarinda	520 S Schenck St	Clarinda	IA	51632	Agronomy	Growmark
Agriland FS - IA	AGRILAND FS	Wyman Agronomy	28465 County Rd G62	Crawfordsville	IA	52621	Agronomy	Growmark
Agriland FS - IA	AGRILAND FS	Griswold Office	54911 Troy Rd	Griswold	IA	51535	C-Store/Service/Energy	Growmark
Agriland FS - IA	AGRILAND FS	Harlan Agronomy	1212 Industrial Pkwy	Harlan	IA	51537	Agronomy	Growmark
Agriland FS - IA	AGRILAND FS	Hedrick Agronomy	30754 Hwy 149	Hedrick	IA	52563	Agronomy	Growmark
Agriland FS - IA	AGRILAND FS	AGRILAND FS – Humeston	420 N 4th St	Humeston	IA	50123	Agronomy	Growmark
Agriland FS - IA	AGRILAND FS	Indianola Service Center	2616 W 2nd Ave	Indianola	IA	50125	C-Store/Service/Energy	Growmark
Agriland FS - IA	AGRILAND FS	AGRILAND FS – Missouri Valley	1850 335th St	Missouri Valley	IA	51555	Agronomy	Growmark
Agriland FS - IA	AGRILAND FS	Murray Agronomy	628 Troy St	Murray	IA	50174	Agronomy	Growmark
Agriland FS - IA	AGRILAND FS	Oskaloosa Agronomy	2305 Hwy 23 S	Oskaloosa	IA	52577	Agronomy	Growmark
Agriland FS - IA	AGRILAND FS	AGRILAND FS – Stuart	1003 SW 7th St	Stuart	IA	50250	Agronomy	Growmark
Agriland FS - IA	AGRILAND FS	Winterset Agronomy	421 N 10th St	Winterset	IA	50273	Corporate HQ	Growmark
AgState - IA	AgState	Albert City Agronomy	30 E Main St	Albert City	IA	50510	Agronomy	Winfield
AgState - IA	AgState	Alta Agronomy	105 West 1st St	Alta	IA	51002	Agronomy	Winfield
AgState - IA	AgState	Alton Agronomy	1509 Midwest Ave	Alton	IA	51003	Agronomy	Winfield
AgState - IA	AgState	Aurelia Agronomy	100 South Main St	Aurelia	IA	51005	Agronomy	Winfield
AgState - IA	AgState	Battle Creek Agronomy	501 1st Street	Battle Creek	IA	51006	Agronomy	Winfield
AgState - IA	AgState	Calumet Agronomy	312 South Railway Ave	Calumet	IA	51009	Agronomy	Winfield
AgState - IA	AgState	Cherokee Agronomy	500 South River Road	Cherokee	IA	51012	Agronomy	Winfield
AgState - IA	AgState	Cherokee – Corporate HQ	960 Riverview Dr	Cherokee	IA	51012	Corporate HQ	Winfield
AgState - IA	AgState	Cleghorn Agronomy	113 South Lewis Ave	Cleghorn	IA	51014	Agronomy	Winfield
AgState - IA	AgState	Emmetsburg Agronomy	1800 E 11th St	Emmetsburg	IA	50536	Agronomy	Winfield
AgState - IA	AgState	Fonda Agronomy	106 S Main St	Fonda	IA	50540	Agronomy	Winfield
AgState - IA	AgState	Granville Agronomy	902 Broad St	Granville	IA	51022	Agronomy	Winfield
AgState - IA	AgState	Hartley Agronomy	3232 Van Buren Ave	Hartley	IA	51346	Agronomy	Winfield
AgState - IA	AgState	Holstein Agronomy	204 East 1st Street	Holstein	IA	51025	Agronomy	Winfield
AgState - IA	AgState	Kingsley Agronomy	18 W 1st Street	Kingsley	IA	51028	Agronomy	Winfield
AgState - IA	AgState	Laurens Agronomy	400 Walnut Street	Laurens	IA	50554	Agronomy	Winfield
AgState - IA	AgState	Marathon Agronomy	212 North Agora	Marathon	IA	50565	Agronomy	Winfield
AgState - IA	AgState	Marcus Agronomy	200 N Hwy 143	Marcus	IA	51035	Agronomy	Winfield
AgState - IA	AgState	Paullina Agronomy	141 N Main St	Paullina	IA	51046	Agronomy	Winfield
AgState - IA	AgState	Rembrandt Agronomy	4949 Hwy 71	Rembrandt	IA	50576	Agronomy	Winfield
AgState - IA	AgState	Schaller Agronomy	102 West First Street	Schaller	IA	51053	Agronomy	Winfield
AgState - IA	AgState	Sheldon Agronomy	205 W Park St	Sheldon	IA	51201	Agronomy	Winfield
AgState - IA	AgState	Webb Agronomy	305 3rd Ave	Webb	IA	51366	Agronomy	Winfield
Agtegra - SD ND MN	Agtegra - SD	Eldridge Agronomy	530 2nd St S	Eldridge	ND	58401	Agronomy	"Winfield, Rosen's"
Agtegra - SD ND MN	Agtegra - SD	Hague (ND) Agronomy	201 Main Ave W	Hague	ND	58542	Agronomy	"Winfield, Rosen's"
