source_system,source_file,source_sheet,source_row_number,account_key,long_name,retailer,name,address,city,state,zip,category,suppliers,is_active
combined_workbook,Channel Partners and Kingpins Map - COMBINED.xlsx,Sheet1,2,acct_63bfe8b190a95dd7,AgLand Cooperative - SD,AgLand Coop,Armour Agronomy Center,507 Braddock Ave,Armour,SD,57313,Agronomy,,True
combined_workbook,Channel Partners and Kingpins Map - COMBINED.xlsx,Sheet1,3,acct_1fef5edaa4897b12,AgLand Cooperative - SD,AgLand Coop,Delmont Agronomy Center,39833 US Hwy 18,Delmont,SD,57330,Agronomy,,True
combined_workbook,Channel Partners and Kingpins Map - COMBINED.xlsx,Sheet1,4,acct_5fa9cfd434c3ee84,AgLand Cooperative - SD,AgLand Coop,Parkston Agronomy Center,115 S First St,Parkston,SD,57366,Agronomy,,True
combined_workbook,Channel Partners and Kingpins Map - COMBINED.xlsx,Sheet1,5,acct_600f7c43bd72ed99,Ag-Land FS - IL,Ag-Land FS,Green Valley Plant,267 E Main St,Green Valley,IL,61534,Agronomy,Growmark,True
combined_workbook,Channel Partners and Kingpins Map - COMBINED.xlsx,Sheet1,6,acct_7489d9023486cc7e,Ag-Land FS - IL,Ag-Land FS,Hanna City Plant,1213 Hanna City Glasford Rd,Hanna City,IL,61536,Agronomy,Growmark,True
combined_workbook,Channel Partners and Kingpins Map - COMBINED.xlsx,Sheet1,7,acct_77e2e0f0821e234d,Ag-Land FS - IL,Ag-Land FS,Hanna City Plant,1213 Hanna City Glasford,Hanna City,IL,61536,Agronomy,Growmark,True
combined_workbook,Channel Partners and Kingpins Map - COMBINED.xlsx,Sheet1,8,acct_33e5994c04bcabca,Ag-Land FS - IL,Ag-Land FS,Lincoln Plant,1129 Keokuk St,Lincoln,IL,62656,Agronomy,Growmark,True
combined_workbook,Channel Partners and Kingpins Map - COMBINED.xlsx,Sheet1,9,acct_e326acd1819e7e92,Ag-Land FS - IL,Ag-Land FS,Monica Plant,19716 N Elliott Rd,Monica,IL,61559,Agronomy,Growmark,True
combined_workbook,Channel Partners and Kingpins Map - COMBINED.xlsx,Sheet1,10,acct_753a692511b60c10,Ag-Land FS - IL,Ag-Land FS,Mt. Pulaski Plant,1758 State Route 54,Mt Pulaski,IL,62548,Agronomy,Growmark,True
combined_workbook,Channel Partners and Kingpins Map - COMBINED.xlsx,Sheet1,11,acct_0852cd55b019240f,Ag-Land FS - IL,Ag-Land FS,New Holland Plant,153 State Route 10,New Holland,IL,62671,Agronomy,Growmark,True
