Retailer	Long Name	Suppliers	Website
Ag Valley Coop	Ag Valley Cooperative – NE KS	Winfield	
Ag-Land FS	Ag-Land FS - IL	Growmark	
AgLand Coop	AgLand Cooperative - SD		
AGRILAND FS	Agriland FS - IA	Growmark	
AgState	AgState - IA	Winfield	
Agtegra	Agtegra - SD ND MN	Winfield, Rosen's	
AgVantage FS	AgVantage FS - IA	Growmark	
Agwrx Coop	Agwrx Coop - SD	Winfield, Rosen's, IAP	
Asmus Farm Supply, Inc.	Asmus Farm Supply, Inc. - IA MN	Nutrien, Winfield	
Aurora Coop	Aurora Coop - NE, IA, KS, CO, TX	Winfield	
Central Farm Service	Central Farm Service - MN IA	Winfield	
Central Farmers Coop	Central Farmers Cooperative - SD NE	Winfield	
Central United Coop	Central United Coop - MN	Winfield	
Central Valley Ag	Central Valley Ag - NE IA	Winfield	
Central Valley Coop	Central Valley Cooperative - MN	Winfield	
CHS Ag Services	CHS Ag Services - MN ND	CHS	
CHS Brandon	CHS Brandon - SD MN NE	CHS	
CHS Central Plains	CHS Central Plains - NE	CHS	
CHS Dakota Plains Ag	CHS Dakota Plains Ag - ND MN SD	CHS	
CHS Devils Lake	CHS Devils Lake - ND	CHS	
CHS Elburn	CHS Elburn - IL	CHS	
CHS Farmers Alliance	CHS Farmers Alliance - SD	CHS	
CHS Federated Co-ops	CHS - Federated Co-ops — MN	Winfield	
CHS Garrison	CHS Garrison - ND	CHS	
CHS Herman	CHS Herman - MN SD	CHS	
CHS Northern Grain	CHS Northern Grain - MN	CHS	
CHS Processing Terminal	CHS Processing Terminal	CHS	
CHS River Plains	CHS River Plains - SD ND	CHS	
CHS Rochester	CHS Rochester - MN	CHS	
CHS Southwest Grain	CHS Southwest Grain - ND SD	CHS	
CHS West Central	CHS West Central - MN	CHS	
Conserv FS	Conserv FS - IL	Growmark	
Cooperative Farmers Elevator	Cooperative Farmers Elevator - IA MN SD	Winfield	
Country Partners Coop	Country Partners Cooperative	Winfield	
Countryside Ag Service	Countryside Ag Service	Rosen's, Winfield, Nutrien	
CPI	Cooperative Producers Inc - NE	Rosen's, Winfield, IAP	
Evergreen FS	Evergreen FS - IL	Growmark	
Farm Service Coop	Farmers Service Cooperative – IA	Winfield, Rosen's	
Farmers Coop Society, Inc.	Farmers Coop Society - IA SD	Nutrien, Winfield, Rosen's	
Farmers Pride	Farmers Pride Cooperative – NE & SD	Winfield	
FCA Vision Ag	FCA Vision Ag - IA	Nutrien, Winfield	
Frenchman Valley Coop	Frenchman Valley Coop - NE	Winfield	
Frontier Coop	Frontier Cooperative - NE	Winfield	
GAPS FS	GAPS FS - MI	Growmark	
Gateway FS	Gateway FS - IL	Growmark	
Gold-Eagle Coop	Gold-Eagle Cooperative - IA	Winfield	
GRAINCO FS	GRAINCO FS - IL	Growmark	
Heartland Coop	Heartland Co-op - IA NE TX	Nutrien	
Helena Retail	Helena Agri-Enterprises - IA	Helena	
Heritage FS	Heritage FS - IN IL	Growmark	
Hi-Line Coop	Hi-Line Cooperative - NE	Winfield, Nutrien, Rosen's	
HiWay 75 Ag	HiWay 75 Ag, LLC		
Hull Coop	Hull Cooperative - IA	Winfield, Nutrien	
Illini FS	Illini FS - IL	Growmark	
Innovative Ag Services	Innovative Ag Services - IA	Winfield	
Keystone Coop	Keystone Cooperative - IN MI	Winfield	
Landus	Landus - IA	Winfield	
Legacy Farmers Coop	Legacy Farmers Cooperative - OH	Growmark	
M&M FS	M&M Service Company FS - IL	Growmark	
Midwest Service Co	Midwest Service Company - NE		
New Century FS	New Century FS - IA	Growmark	
NEW Coop	NEW Cooperative - IA	Winfield	
Nutrien Ag - Retail	Nutrien Ag Solutions - IA	Nutrien	
Prairieland FS	Prairieland FS - IL	Growmark	
PRO Coop	PRO Cooperative - IA	Winfield	
RedStar	RedStar Fertilizer - NE MN	IAP	
South Central FS	South Central FS - IL	Growmark	
Sunrise Coop	Sunrise Cooperative - OH	Winfield	
Tama-Benton Coop	Tama-Benton Coop - IA	Winfield; Rosen's	
Three Rivers FS	Three Rivers FS - IA	Growmark	
United Prairie LLC	United Prairie LLC - IL	Winfield	
Valley United Coop	Valley United Coop - ND MN	Winfield	
Wabash Valley FS	Wabash Valley FS - IL IN	Growmark	
Wells Ag	Wells Ag Supply - IA	Winfield, Rosen's, IAP	
West Central FS	West Central FS - IL IA	Growmark	
Western Consolidated	Western Consolidated - MN		
