Retailer	Long Name	Suppliers	Website
Ag Valley Coop	Ag Valley Cooperative – NE KS	Winfield	https://agvalley.com/
Ag-Land FS	Ag-Land FS - IL	Growmark	https://fscooperatives.com/aglandfs
AgLand Coop	AgLand Cooperative - SD		http://www.aglandsd.net/about-us/history/
AGRILAND FS	Agriland FS - IA	Growmark	https://www.agrilandfs.com/
AgState	AgState - IA	Winfield	https://agstate.org/
Agtegra	Agtegra - SD ND MN	"Winfield, Rosen's"	https://www.agtegra.com/
AgVantage FS	AgVantage FS - IA	Growmark	https://fscooperatives.com/agvantagefs
Agwrx Coop	Agwrx Coop - SD	"Winfield, Rosen's, IAP"	https://www.agwrxcoop.com/
"Asmus Farm Supply, Inc."	"Asmus Farm Supply, Inc. - IA MN"	"Nutrien, Winfield"	https://www.afschem.com/
Aurora Coop	"Aurora Coop - NE, IA, KS, CO, TX"	Winfield	https://auroracoop.com/
Central Farm Service	Central Farm Service - MN IA	Winfield	https://www.cfscoop.com/
Central Farmers Coop	Central Farmers Cooperative - SD NE	Winfield	https://www.cenfarmcoop.com/
Central United Coop	Central United Coop - MN	Winfield	https://www.cfscoop.com/
Central Valley Ag	Central Valley Ag - NE IA	Winfield	https://www.cvacoop.com/
Central Valley Coop	Central Valley Cooperative - MN	Winfield	https://centralunitedcoop.com/
CHS Ag Services	CHS Ag Services - MN ND	CHS	https://www.chsagservices.com/
CHS Brandon	CHS Brandon - SD MN NE	CHS	https://www.chsbrandon.com/
CHS Central Plains	CHS Central Plains - NE	CHS	https://www.chsdevilslake.com/
CHS Dakota Plains Ag	CHS Dakota Plains Ag - ND MN SD	CHS	https://www.chsdakotaplainsag.com/
CHS Devils Lake	CHS Devils Lake - ND	CHS	https://www.chsdevilslake.com/
CHS Elburn	CHS Elburn - IL	CHS	https://www.chs-illinois.com/
CHS Farmers Alliance	CHS Farmers Alliance - SD	CHS	https://www.chsfarmersalliance.com/
CHS Federated Co-ops	CHS - Federated Co-ops — MN	Winfield	https://www.federatedcoops.com/
CHS Garrison	CHS Garrison - ND	CHS	https://www.chsgarrison.com/
CHS Herman	CHS Herman - MN SD	CHS	https://www.chs-herman.com/
